key,source,context,changes,english
ZTSoundBarRebuild,blocks,Variant,New,Sound Bar
HN Glass Desk,blocks,Variant,New,Glass Desk
HN Glass and Metal Table 1x1,blocks,Variant,New,Metal Table
HN Glass and Metal Table 2x1,blocks,Variant,New,Metal Table
HN Glass and Metal Table 2x2,blocks,Variant,New,Metal Table
HN Large Table,blocks,Variant,New,Table
HN Dark Wood Medium Table,blocks,Variant,New,Table
HN Glass and Metal Coffe Table,blocks,Variant,New,Metal Coffee Table
HN Coffee Table X1,blocks,Variant,New,Coffee Table
HN Coffee Table X2,blocks,Variant,New,Coffee Table
HN Coffee Table X3,blocks,Variant,New,Coffee Table
HN Coffee Table AX1,blocks,Variant,New,Coffee Table
HN Coffee Table AX2,blocks,Variant,New,Coffee Table
HN Coffee Table AX3,blocks,Variant,New,Coffee Table
HN Elegant Chair 1,blocks,Variant,New,Leather Chair
HN PC Chair Black,blocks,Variant,New,Computer Chair
HN PC Chair Brown,blocks,Variant,New,Computer Chair
HN PC Chair White,blocks,Variant,New,Computer Chair
HN Modern Chair,blocks,Variant,New,Metal Chair
HN Chair Metal,blocks,Variant,New,Metal Chair
HN Umbrella Blue,blocks,Variant,New,Blue Umbrella
HN Umbrella Green,blocks,Variant,New,Green Umbrella
HN Umbrella Red,blocks,Variant,New,Red Umbrella
HN Umbrella Yellow,blocks,Variant,New,Yellow Umbrella
HN Umbrella White and Red,blocks,Variant,New,Red and White Umbrella
HN Umbrella Stand,blocks,Variant,New,Umbrella Stand
ZTModernFireplaceRebuild,blocks,Variant,New,Modern Fireplace
HN Sofa Brown,blocks,Variant,New,Sofa
HN Sofa Arm Brown,blocks,Variant,New,Sofa
HN Sofa Arm Right Brown,blocks,Variant,New,Sofa
HN Sofa Arm Left Brown,blocks,Variant,New,Sofa
HN Sofa Corner Brown,blocks,Variant,New,Sofa
HN Sofa White,blocks,Variant,New,Sofa
HN Sofa Arm White,blocks,Variant,New,Sofa
HN Sofa Arm Right White,blocks,Variant,New,Sofa
HN Sofa Arm Left White,blocks,Variant,New,Sofa
HN Sofa Corner White,blocks,Variant,New,Sofa
HN Sofa Gray,blocks,Variant,New,Sofa
HN Sofa Arm Gray,blocks,Variant,New,Sofa
HN Sofa Arm Right Gray,blocks,Variant,New,Sofa
HN Sofa Arm Left Gray,blocks,Variant,New,Sofa
HN Sofa Corner Gray,blocks,Variant,New,Sofa
HN Sofa Black,blocks,Variant,New,Sofa
HN Sofa Arm Black,blocks,Variant,New,Sofa
HN Sofa Arm Right Black,blocks,Variant,New,Sofa
HN Sofa Arm Left Black,blocks,Variant,New,Sofa
HN Sofa Corner Black,blocks,Variant,New,Sofa
HN Decor Plant,blocks,Variant,New,Decorative Plant
HN Palm Plant Pot,blocks,Variant,New,Palm Plant
HN Puff,blocks,Variant,New,Cushion
HN Decor Jars,blocks,Variant,New,Decorative Jars
HN Decoration Spheres,blocks,Variant,New,Decoration Spheres
HN Decoration Spheres X2,blocks,Variant,New,Decoration Spheres
HN Swimming Pool Block 01,blocks,Variant,New,Swimming Pool Block
ZTPoolLightRebuild,blocks,Variant,New,Swimming Pool Light
HN Swimming Pool Stairs 01,blocks,Variant,New,Swimming Pool Stairs
HN Swimming Pool Stairs 02,blocks,Variant,New,Swimming Pool Stairs
HN Sushi Dinner,blocks,Variant,New,Sushi Dinner
HN Garden Bed,blocks,Variant,New,Garden Bed
HN Garden Chair,blocks,Variant,New,Garden Chair
HN Garden Table,blocks,Variant,New,Garden Table
HN Garden Table Square,blocks,Variant,New,Square Garden Table
HN Garden Table Round,blocks,Variant,New,Round Garden Table
ZTPCRebuild,blocks,Variant,New,Desktop PC
ZTLaptopRebuild,blocks,Variant,New,Laptop
HN Video Game Console PS,blocks,Variant,New,PlayStation 4 Console 
HN Sliding Door Mirrored Glass,blocks,Variant,New,Bulletproof Mirrored Door
HN Glass Closet Door 1,blocks,Variant,New,Glass Closet Door
HN Glass Closet Door 2,blocks,Variant,New,Glass Closet Door
HN Glass Closet Door 3,blocks,Variant,New,Glass Closet Door
HN Glass Door,blocks,Variant,New,Glass Door
HN Closet Door,blocks,Variant,New,Closet Door
HN Closet Door Bottom,blocks,Variant,New,Closet Door
HN Closet Door Middle,blocks,Variant,New,Closet Door
HN Main Door,blocks,Variant,New,Heavy Door
HN Main Double Door,blocks,Variant,New,Heavy Double Doors
HN Sliding Door,blocks,Variant,New,Sliding Doors
HN Wood Door Brown,blocks,Variant,New,Brown Wooden Door
HN Wood Door Clear,blocks,Variant,New,Clear Wooden Door
HN Wood Door White,blocks,Variant,New,White Wooden Door
HN Wood Door Gray,blocks,Variant,New,Gray Wooden Door
HN Wood Double Door Brown,blocks,Variant,New,Brown Double Doors
HN Wood Double Door Clear,blocks,Variant,New,Clear Double Doors
HN Wood Double Door White,blocks,Variant,New,White Double Doors
HN Wood Double Door Gray,blocks,Variant,New,Gray Double Doors
HN Cabinet 1,blocks,Variant,New,Cabinet
HN Cabinet 2,blocks,Variant,New,Cabinet
HN Cabinet 3,blocks,Variant,New,Cabinet
HN Cabinet 6,blocks,Variant,New,Cabinet
HN Cabinet 7,blocks,Variant,New,Cabinet
HN Cabinet 8,blocks,Variant,New,Cabinet
HN Cabinet Dark Wood 1,blocks,Variant,New,Cabinet
HN Cabinet Dark Wood 2,blocks,Variant,New,Cabinet
HN Cabinet Dark Wood 3,blocks,Variant,New,Cabinet
HN Cabinet Dark Wood 4,blocks,Variant,New,Cabinet
HN Cabinet Filler Dark Wood,blocks,Variant,New,Cabinet
HN Cabinet Cube Dark Wood,blocks,Variant,New,Cabinet
HN Cabinet Clear Wood 1,blocks,Variant,New,Cabinet
HN Cabinet Clear Wood 2,blocks,Variant,New,Cabinet
HN Cabinet Clear Wood 3,blocks,Variant,New,Cabinet
HN Cabinet Clear Wood 4,blocks,Variant,New,Cabinet
HN Cabinet Filler Clear Wood,blocks,Variant,New,Cabinet
HN Cabinet Cube Clear Wood,blocks,Variant,New,Cabinet
HN Cabinet Round Corner Clear Wood,blocks,Variant,New,Cabinet
HN Cabinet White Wood 1,blocks,Variant,New,Cabinet
HN Cabinet White Wood 2,blocks,Variant,New,Cabinet
HN Cabinet White Wood 3,blocks,Variant,New,Cabinet
HN Cabinet White Wood 4,blocks,Variant,New,Cabinet
HN Cabinet Filler White Wood,blocks,Variant,New,Cabinet
HN Cabinet Cube White Wood,blocks,Variant,New,Cabinet
HN Cabinet Round Corner White Wood,blocks,Variant,New,Cabinet
HN Cabinet Round Corner Dark Wood,blocks,Variant,New,Cabinet
HN Cupboard White Wood 1,blocks,Variant,New,Cupboard
HN Cupboard White Wood 2,blocks,Variant,New,Cupboard
HN Cupboard White Wood 3,blocks,Variant,New,Shelf
HN Cupboard White Wood 4,blocks,Variant,New,Cupboard
HN Cupboard Corner White Wood,blocks,Variant,New,Cupboard
HN Cupboard Large White Wood,blocks,Variant,New,Cupboard
HN Cupboard Clear Wood 1,blocks,Variant,New,Cupboard
HN Cupboard Clear Wood 2,blocks,Variant,New,Cupboard
HN Cupboard Clear Wood 3,blocks,Variant,New,Shelf
HN Cupboard Clear Wood 4,blocks,Variant,New,Cupboard
HN Cupboard Corner Clear Wood,blocks,Variant,New,Cupboard
HN Cupboard Dark Wood 1,blocks,Variant,New,Cupboard
HN Cupboard Dark Wood 2,blocks,Variant,New,Cupboard
HN Cupboard Dark Wood 3,blocks,Variant,New,Shelf
HN Cupboard Dark Wood 4,blocks,Variant,New,Cupboard
HN Cupboard Corner Dark Wood,blocks,Variant,New,Cupboard
HN Cupboard Large Clear Wood,blocks,Variant,New,Cupboard
HN Cupboard Large Dark Wood,blocks,Variant,New,Cupboard
HN SD Window Panel x1,blocks,Variant,New,Window Panel
HN SD Window Panel x2,blocks,Variant,New,Window Panel
HN SD Window Panel x4,blocks,Variant,New,Window Panel
HN Window A1,blocks,Variant,New,Window
HN Window A2,blocks,Variant,New,Window
HN Window A3,blocks,Variant,New,Window
HN Window A4,blocks,Variant,New,Window
HN Window A5,blocks,Variant,New,Window
HN Window A6,blocks,Variant,New,Window
HN Window A7,blocks,Variant,New,Window
HN Window A8,blocks,Variant,New,Window
HN Window A9,blocks,Variant,New,Window
HN Window B1,blocks,Variant,New,Window
HN Window B2,blocks,Variant,New,Window
HN Window B3,blocks,Variant,New,Window
HN Window B4,blocks,Variant,New,Window
HN Window B5,blocks,Variant,New,Window
HN Window B6,blocks,Variant,New,Window
HN Window B7,blocks,Variant,New,Window
HN Window B8,blocks,Variant,New,Window
HN Window B9,blocks,Variant,New,Window
HN Window B10 Inverted,blocks,Variant,New,Window
HN Wood Door Brown Top Window,blocks,Variant,New,Wide Window
HN Wood Door Clear Top Window,blocks,Variant,New,Wide Window
HN Wood Door White Top Window,blocks,Variant,New,Wide Window
HN Wood Door Gray Top Window,blocks,Variant,New,Wide Window
HN Wood Double Door Brown Top Window,blocks,Variant,New,Wide Window
HN Wood Double Door Clear Top Window,blocks,Variant,New,Wide Window
HN Wood Double Door White Top Window,blocks,Variant,New,Wide Window
HN Wood Double Door Gray Top Window,blocks,Variant,New,Wide Window
HN Wood Window 1x1,blocks,Variant,New,Wooden Window
HN Wood Window 2x1,blocks,Variant,New,Wooden Window
HN Wood Window 2x2,blocks,Variant,New,Wooden Window
HN Wood Window Sect 1x1,blocks,Variant,New,Wooden Window
HN Wood Window Sect 2x1,blocks,Variant,New,Wooden Window
HN Wood Window Sect 2x2,blocks,Variant,New,Wooden Window
HN Wood Window White 1x1,blocks,Variant,New,White Wooden Window
HN Wood Window White 2x1,blocks,Variant,New,White Wooden Window
HN Wood Window White 2x2,blocks,Variant,New,White Wooden Window
HN Wood Window Sect White 1x1,blocks,Variant,New,White Wooden Window
HN Wood Window Sect White 2x1,blocks,Variant,New,White Wooden Window
HN Wood Window Sect White 2x2,blocks,Variant,New,White Wooden Window
